symbol,provider_symbol,asset_class,region,provider
asx/ALY,ALY.AX,stock,AU,yahoo
asx/AM5,AM5.AX,stock,AU,yahoo
asx/AM7,AM7.AX,stock,AU,yahoo
asx/AMA,AMA.AX,stock,AU,yahoo
asx/AMC,AMC.AX,stock,AU,yahoo
asx/AMD,AMD.AX,stock,AU,yahoo
asx/AME,AME.AX,stock,AU,yahoo
asx/AMH,AMH.AX,stock,AU,yahoo
asx/AMI,AMI.AX,stock,AU,yahoo
asx/AMN,AMN.AX,stock,AU,yahoo
asx/AMO,AMO.AX,stock,AU,yahoo
asx/AMP,AMP.AX,stock,AU,yahoo
asx/AMS,AMS.AX,stock,AU,yahoo
asx/AMU,AMU.AX,stock,AU,yahoo
asx/AMX,AMX.AX,stock,AU,yahoo
asx/AN1,AN1.AX,stock,AU,yahoo
asx/ANG,ANG.AX,stock,AU,yahoo
asx/ANN,ANN.AX,stock,AU,yahoo
asx/ANO,ANO.AX,stock,AU,yahoo
asx/ANR,ANR.AX,stock,AU,yahoo
asx/ANX,ANX.AX,stock,AU,yahoo
asx/ANZ,ANZ.AX,stock,AU,yahoo
asx/AOA,AOA.AX,stock,AU,yahoo
asx/AOF,AOF.AX,stock,AU,yahoo
asx/AOK,AOK.AX,stock,AU,yahoo
asx/AON,AON.AX,stock,AU,yahoo
asx/AOV,AOV.AX,stock,AU,yahoo
asx/APA,APA.AX,stock,AU,yahoo
asx/APC,APC.AX,stock,AU,yahoo
asx/APE,APE.AX,stock,AU,yahoo
asx/APL,APL.AX,stock,AU,yahoo
asx/APW,APW.AX,stock,AU,yahoo
asx/APX,APX.AX,stock,AU,yahoo
asx/APZ,APZ.AX,stock,AU,yahoo
asx/AQC,AQC.AX,stock,AU,yahoo
asx/AQD,AQD.AX,stock,AU,yahoo
asx/AQI,AQI.AX,stock,AU,yahoo
asx/AQN,AQN.AX,stock,AU,yahoo
asx/AQX,AQX.AX,stock,AU,yahoo
asx/AQZ,AQZ.AX,stock,AU,yahoo
asx/AR1,AR1.AX,stock,AU,yahoo
asx/AR3,AR3.AX,stock,AU,yahoo
asx/AR9,AR9.AX,stock,AU,yahoo
asx/ARA,ARA.AX,stock,AU,yahoo
asx/ARB,ARB.AX,stock,AU,yahoo
asx/ARC,ARC.AX,stock,AU,yahoo
asx/ARD,ARD.AX,stock,AU,yahoo
asx/ARF,ARF.AX,stock,AU,yahoo
asx/ARG,ARG.AX,stock,AU,yahoo
asx/ARI,ARI.AX,stock,AU,yahoo
asx/ARL,ARL.AX,stock,AU,yahoo
asx/ARN,ARN.AX,stock,AU,yahoo
asx/ARR,ARR.AX,stock,AU,yahoo
asx/ART,ART.AX,stock,AU,yahoo
asx/ARU,ARU.AX,stock,AU,yahoo
asx/ARV,ARV.AX,stock,AU,yahoo
asx/ARX,ARX.AX,stock,AU,yahoo
asx/AS1,AS1.AX,stock,AU,yahoo
asx/AS2,AS2.AX,stock,AU,yahoo
asx/ASB,ASB.AX,stock,AU,yahoo
asx/ASG,ASG.AX,stock,AU,yahoo
asx/ASH,ASH.AX,stock,AU,yahoo
asx/ASK,ASK.AX,stock,AU,yahoo
asx/ASL,ASL.AX,stock,AU,yahoo
asx/ASM,ASM.AX,stock,AU,yahoo
asx/ASN,ASN.AX,stock,AU,yahoo
asx/ASP,ASP.AX,stock,AU,yahoo
asx/ASQ,ASQ.AX,stock,AU,yahoo
asx/ASV,ASV.AX,stock,AU,yahoo
